"battle_end_date","battle_end_time","serial","monster_id","is_win"
2024/10/15,0:00:58.865,1,"3",False
2024/10/15,0:00:58.865,2,"15",True
2024/10/15,0:00:58.865,3,"9",False
2024/10/15,0:00:58.865,4,"7",False
2024/10/15,0:01:52.283,1,"1",False
2024/10/15,0:01:52.283,2,"17",False
2024/10/15,0:01:52.283,3,"14",False
2024/10/15,0:01:52.283,4,"5",True
2024/10/15,22:51:22.120,1,"7",False
2024/10/15,22:51:22.120,2,"12",False
2024/10/15,22:51:22.120,3,"16",True
2024/10/15,22:51:22.120,4,"14",False
2024/10/15,23:03:26.841,1,"6",False
2024/10/15,23:03:26.841,2,"19",True
2024/10/15,23:03:26.841,3,"16",False
2024/10/15,23:03:26.841,4,"11",False
2024/10/15,23:25:10.517,1,"8",False
2024/10/15,23:25:10.517,2,"15",True
2024/10/15,23:25:10.517,3,"10",False
2024/10/15,23:38:43.723,1,"19",False
2024/10/15,23:38:43.723,2,"13",True
2024/10/15,23:38:43.723,3,"12",False
2024/10/16,21:01:35.087,1,"3",False
2024/10/16,21:01:35.087,2,"15",True
2024/10/16,21:01:35.087,3,"12",False
2024/10/16,21:04:41.181,1,"12",False
2024/10/16,21:04:41.181,2,"14",True
2024/10/16,21:04:41.181,3,"1",False
2024/10/16,21:10:59.834,1,"4",False
2024/10/16,21:10:59.834,2,"19",False
2024/10/16,21:10:59.834,3,"11",True
2024/10/16,22:22:48.823,1,"13",True
2024/10/16,22:22:48.823,2,"8",False
2024/10/16,22:22:48.823,3,"12",False
2024/10/17,3:42:06.101,1,"6",False
2024/10/17,3:42:06.101,2,"5",False
2024/10/17,3:42:06.101,3,"11",True
2024/10/18,3:32:21.372,1,"2",True
2024/10/18,3:32:21.372,2,"19",False
2024/10/18,3:32:21.372,3,"14",False
2024/10/18,3:37:28.399,1,"9",False
2024/10/18,3:37:28.399,2,"1",False
2024/10/18,3:37:28.399,3,"4",False
2024/10/18,3:37:28.399,4,"17",True
2024/10/18,3:39:45.597,1,"18",False
2024/10/18,3:39:45.597,2,"15",False
2024/10/18,3:39:45.597,3,"3",True
2024/10/18,3:39:45.597,4,"7",False
2024/10/18,22:56:52.745,1,"16",True
2024/10/18,22:56:52.745,2,"10",False
2024/10/18,22:56:52.745,3,"8",False
2024/10/18,22:56:52.745,4,"18",False
2024/10/18,23:26:42.452,1,"18",False
2024/10/18,23:26:42.452,2,"2",True
2024/10/18,23:26:42.452,3,"12",False
2024/10/18,23:32:55.140,1,"18",False
2024/10/18,23:32:55.140,2,"2",False
2024/10/18,23:32:55.140,3,"12",False
2024/10/18,23:32:55.140,4,"9",True
2024/10/19,1:54:11.702,1,"19",True
2024/10/19,1:54:11.702,2,"7",False
2024/10/19,1:54:11.702,3,"8",False
2024/10/19,1:54:11.702,4,"5",False
2024/10/19,17:09:08.405,1,"16",True
2024/10/19,17:09:08.405,2,"15",False
2024/10/19,17:09:08.405,3,"13",False
2024/10/19,17:09:08.405,4,"1",False
2024/10/19,17:11:22.362,1,"19",True
2024/10/19,17:11:22.362,2,"10",False
2024/10/19,17:35:11.240,1,"1",True
2024/10/19,17:35:11.240,2,"5",False
2024/10/19,17:35:11.240,3,"14",False
2024/10/19,17:35:11.240,4,"18",False
2024/10/19,17:40:09.218,1,"10",True
2024/10/19,17:40:09.218,2,"4",False
2024/10/19,17:40:09.218,3,"1",False
2024/10/19,17:40:09.218,4,"6",False
2024/10/20,1:25:46.666,1,"17",True
2024/10/20,1:25:46.666,2,"13",False
2024/10/20,1:26:48.418,1,"9",False
2024/10/20,1:26:48.418,2,"6",False
2024/10/20,1:26:48.418,3,"7",True
2024/10/20,1:26:48.418,4,"19",False
2024/10/20,12:39:25.121,1,"3",False
2024/10/20,12:39:25.121,2,"2",True
2024/10/20,12:49:46.346,1,"3",False
2024/10/20,12:49:46.346,2,"12",True
2024/10/20,12:53:28.460,1,"9",True
2024/10/20,12:53:28.460,2,"10",False
2024/10/20,13:21:09.421,1,"17",True
2024/10/20,13:21:09.421,2,"10",False
2024/10/20,21:57:02.985,1,"3",False
2024/10/20,21:57:02.985,2,"12",False
2024/10/20,21:57:02.985,3,"16",False
2024/10/20,21:57:02.985,4,"6",True
2024/10/20,21:57:02.985,5,"7",False
2024/10/20,21:57:02.985,6,"11",False
2024/10/20,22:34:54.646,1,"18",False
2024/10/20,22:34:54.646,2,"6",True
2024/10/20,22:49:51.190,1,"6",False
2024/10/20,22:49:51.190,2,"11",False
2024/10/20,22:54:42.921,1,"19",False
2024/10/20,22:54:42.921,2,"3",False
2024/10/20,22:57:07.180,1,"17",False
2024/10/20,22:57:07.180,2,"16",False
2024/10/20,23:00:25.254,1,"2",False
2024/10/20,23:00:25.254,2,"1",True
2024/10/20,23:22:07.481,1,"1",False
2024/10/20,23:22:07.481,2,"8",False
2024/10/20,23:22:07.481,3,"17",True
2024/10/23,20:56:34.445,1,"10",False
2024/10/23,20:56:34.445,2,"2",True
2024/10/23,20:59:18.038,1,"3",False
2024/10/23,20:59:18.038,2,"5",True
2024/10/23,21:09:24.939,1,"8",False
2024/10/23,21:09:24.939,2,"3",False
2024/10/23,21:09:24.939,3,"12",True
2024/10/23,21:16:59.818,1,"18",True
2024/10/23,21:16:59.818,2,"1",False
2024/10/23,21:16:59.818,3,"7",False
