user_id,monster_type_id,acquired_date,not_use_this
beginner,14,2024/11/30,FALSE
beginner,2,2024/11/30,FALSE
beginner,1,2024/11/30,FALSE
beginner,4,2024/11/30,FALSE
beginner,5,2024/11/30,FALSE
beginner,6,2024/11/30,FALSE
beginner,7,2024/11/30,FALSE
beginner,8,2024/11/30,FALSE
beginner,9,2024/11/30,FALSE
beginner,10,2024/11/30,FALSE
サカモト,14,2024/11/30,FALSE
サカモト,2,2024/11/30,FALSE
サカモト,1,2024/11/30,FALSE
サカモト,4,2024/11/30,FALSE
サカモト,5,2024/11/30,FALSE
サカモト,6,2024/11/30,FALSE
サカモト,7,2024/11/30,FALSE
サカモト,8,2024/11/30,FALSE
サカモト,9,2024/11/30,FALSE
サカモト,10,2024/11/30,FALSE
guest,14,2024/11/30,FALSE
guest,2,2024/11/30,FALSE
guest,1,2024/11/30,FALSE
guest,4,2024/11/30,FALSE
guest,5,2024/11/30,FALSE
guest,6,2024/11/30,FALSE
guest,7,2024/11/30,FALSE
guest,8,2024/11/30,FALSE
guest,9,2024/11/30,FALSE
guest,10,2024/11/30,FALSE
サイゴウ,14,2024/11/30,FALSE
サイゴウ,2,2024/11/30,FALSE
サイゴウ,1,2024/11/30,FALSE
サイゴウ,4,2024/11/30,FALSE
サイゴウ,5,2024/11/30,FALSE
サイゴウ,6,2024/11/30,FALSE
サイゴウ,7,2024/11/30,FALSE
サイゴウ,8,2024/11/30,FALSE
サイゴウ,9,2024/11/30,FALSE
サイゴウ,10,2024/11/30,FALSE
ナカオカ,14,2024/11/30,FALSE
ナカオカ,2,2024/11/30,FALSE
ナカオカ,1,2024/11/30,FALSE
ナカオカ,4,2024/11/30,FALSE
ナカオカ,5,2024/11/30,FALSE
ナカオカ,6,2024/11/30,FALSE
ナカオカ,7,2024/11/30,FALSE
ナカオカ,8,2024/11/30,FALSE
ナカオカ,9,2024/11/30,FALSE
ナカオカ,10,2024/11/30,FALSE
admin,1,2024/11/30,FALSE
admin,2,2024/11/30,FALSE
admin,3,2024/11/30,FALSE
admin,4,2024/11/30,FALSE
admin,5,2024/11/30,FALSE
admin,6,2024/11/30,FALSE
admin,7,2024/11/30,FALSE
admin,8,2024/11/30,FALSE
admin,9,2024/11/30,FALSE
admin,10,2024/11/30,FALSE
admin,11,2024/11/30,FALSE
admin,12,2024/11/30,FALSE
admin,13,2024/11/30,FALSE
admin,14,2024/11/30,FALSE
admin,15,2024/11/30,FALSE
admin,16,2024/11/30,FALSE
admin,17,2024/11/30,FALSE
admin,18,2024/11/30,FALSE
admin,19,2024/11/30,FALSE
admin,20,2024/11/30,FALSE
admin,21,2024/11/30,FALSE
admin,22,2024/11/30,FALSE
admin,23,2024/11/30,FALSE
admin,24,2024/11/30,FALSE
admin,25,2024/11/30,FALSE
admin,26,2024/11/30,FALSE
admin,27,2024/11/30,FALSE
admin,28,2024/11/30,FALSE
admin,29,2024/11/30,FALSE
admin,30,2024/11/30,FALSE
admin,31,2024/11/30,FALSE
admin,32,2024/11/30,FALSE
